135,-12.3883,-16.1931,5.6058,0.0081,0.0026,0.9988
140,-0.3891,0.1598,2.6469,-0.0586,-0.0490,0.9931
145,-0.4171,-0.1344,0.1347,-0.0063,-0.0026,0.9855
150,-0.3433,0.0401,0.3662,-0.0039,-0.0018,0.9892
155,-0.5580,-0.2374,3.5784,0.0173,0.0262,0.9887
160,-0.5853,-0.7880,5.4336,0.0102,0.0227,0.9785
165,0.0086,2.2682,8.5046,0.0151,-0.0004,0.9716
170,-0.2694,-0.8023,1.1963,-0.0630,-0.0998,0.9851
175,-0.1450,1.3684,-0.3103,-0.0019,-0.0043,1.0012
180,-0.3667,-0.1603,-0.2938,-0.0101,-0.0045,0.9918
185,-0.3740,0.1303,-0.2647,-0.0048,-0.0027,0.9909
190,-0.3521,0.1079,-0.2758,-0.0064,-0.0024,0.9882
195,-0.3026,0.1246,-0.2733,-0.0057,-0.0036,0.9909
200,-0.2876,0.2490,-0.2896,-0.0046,-0.0052,0.9818
205,-0.4228,0.0510,-0.2728,-0.0046,-0.0035,0.9866
210,-0.4383,-0.2115,-0.3125,-0.0047,-0.0021,0.9964
215,-0.5233,-0.1756,-0.2595,-0.0076,-0.0041,0.9907
225,-0.4275,0.0231,-0.3044,-0.0038,-0.0056,0.9837
230,-0.3627,0.0928,-0.2913,-0.0066,-0.0049,0.9874
235,-0.3142,0.0295,-0.2943,-0.0050,-0.0029,0.9898
240,-0.3236,-0.0069,-0.2450,-0.0060,-0.0029,0.9912
245,-0.3526,0.0559,-0.2930,-0.0055,-0.0040,0.9887
250,-0.3196,0.0291,-0.2898,-0.0068,-0.0063,0.9851
255,-0.3622,0.0475,-0.2989,-0.0049,-0.0043,0.9892
260,-0.3492,0.0158,-0.2605,-0.0052,-0.0030,0.9873
265,-0.3201,0.0291,-0.2881,-0.0051,-0.0029,0.9874
270,-0.2856,0.1423,-0.2590,-0.0063,-0.0045,0.9904
275,-0.2935,0.0608,-0.2859,-0.0052,-0.0045,0.9890
